brand,barrier,match_count,example_quotes
Alcon,too few variants,3,[I wish there were more options for prescriptions when ordering.](https://www.hktvmall.com/hktv/en/main/Vintage-Eyewear-4-You/s/S1115001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Astigmatism-Contact-Lens/Daily-Disposable/DAILIES-Toric-with-AquaComfort-Plus-30pcsboxDealer-Products-800-175-x170/p/S1115001_S_DAILIESToricAquaComfortPlus_800_175_170?scrollTo=reviewTab) (review) | [I noticed the daily lenses were missing this time.](https://www.hktvmall.com/hktv/en/main/Vintage-Eyewear-4-You/s/S1115001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Multifocal-Contact-Lenses/Monthly-Disposable/AIR-OPTIX-AQUA-MULTIFOCAL-plus-HydraGlyde-3pcsboxDealer-Products-PWR-000-HI/p/S1115001_S_AIROPTIXAQUAMULTIFOCAL_H_000?scrollTo=reviewTab) (review) | [It's not as moisturizing; other brands feel more comfortable.](https://www.hktvmall.com/hktv/en/main/Vintage-Eyewear-4-You/s/S1115001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Multifocal-Contact-Lenses/Daily-Disposable/DAILIES-AquaComfort-Plus-MULTIFOCAL-30pcsboxDealer-Products-PWR-1000-LO/p/S1115001_S_DAILIESAquaComfortMULTIFOCAL_L_1000?scrollTo=reviewTab) (review)
Alcon,unattractive packaging,2,[The packaging was damaged.](https://www.hktvmall.com/hktv/en/main/Easy-Look/s/H5711001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/DAILIES-TOTAL-1-Silicone-Hydrogel-1Day-Contact-Lens-BC-85-P-100/p/H5711001_S_Total1_reg_1day-85-100S?scrollTo=reviewTab) (review) | [The opened packaging dissuades returning.](https://www.hktvmall.com/hktv/en/main/Easy-Look/s/H5711001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/DAILIES-TOTAL-1-Silicone-Hydrogel-1Day-Contact-Lens-BC-85-P-100/p/H5711001_S_Total1_reg_1day-85-100S?scrollTo=reviewTab) (review)
Alcon,difficult to find,2,"[Had a painful experience with a lens breaking in my eye.](https://www.xiaohongshu.com/discovery/item/6649e2e1000000000f00cf03?xsec_token=YBdIrrlUlNhhCrCe6cRtmglxwKeT2R2R_5-5KmsK_eGqE%3D&xsec_source=app_share) (xhs_post) | [Alcon's lenses are reliable, but finding them can be tough.](https://www.xiaohongshu.com/discovery/item/67f626db000000000b02d2d1?xsec_token=YBI_V6N95_CcAFOTW3uAScAd3hxbWIHsoAsWB4q96cw9U%3D&xsec_source=app_share) (xhs_post)"
Alcon,no trial lens,1,[There's no trial option available.](https://www.hktvmall.com/hktv/en/main/Easy-Look/s/H5711001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/DAILIES-AquaComfort-PLUS-1Day-Contact-Lens-87-P-100/p/H5711001_S_DACP_reg_1day-87-100S?scrollTo=reviewTab) (review)
Bausch & Lomb,too expensive,80,[It has a nice color but is perceived as pricey.](https://www.hktvmall.com/hktv/en/main/Vcons/s/B1665001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Astigmatism-Contact-Lens/Monthly-Disposable/Bausch-Lomb-UltraAstigmatic-contact-lenses-monthly-pack-of-6-pieces-BC-86-175/p/B1665001_S_Bausch-Lomb-Ultra-sg-p175-c125-a180?scrollTo=reviewTab) (review) | [The product is effective but considered somewhat pricey.](https://www.hktvmall.com/hktv/en/main/POKECON/s/H8617001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Colour-Contact-Lens/Daily-Disposable/Lacelle-1-day-Modest-Black-Daily-Disposal-Colour-Contact-Lenses/p/H8617001_S_Lacelle-BH_PL?scrollTo=reviewTab) (review) | [I won't repurchase due to the price increase.](https://www.hktvmall.com/hktv/en/main/KINGCON/s/H7249002/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/Biotrue-ONEday-Contact-Lenses-Packaging-may-vary-new-or-old/p/H7249002_S_BLBTBD30-86M0075?scrollTo=reviewTab) (review)
Bausch & Lomb,previous bad experience,46,[I've encountered issues with lens quality.](https://www.hktvmall.com/hktv/en/main/POKECON/s/H8617001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/SofLens-Daily-Disposable-Contact-Lenses-Parallel-imported-products/p/H8617001_S_SDD-Pi-100?scrollTo=reviewTab) (review) | [There seem to be quality issues with my purchase.](https://www.hktvmall.com/hktv/en/main/Vcons/s/B1665001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/Ultra-One-Day-Daily-disposable-contact-lenses-30-pieces275/p/B1665001_S_BAUSCH-LOMB-ULTRA-275?scrollTo=reviewTab) (review) | [The product felt uncomfortable and not right for my eyes.](https://www.hktvmall.com/hktv/en/main/Contact-Lens-247/s/H9835001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Colour-Contact-Lens/Daily-Disposable/Tender-Brown-Lacelle-1-day-Daily-Disposal-Colour-Contact-Lenses/p/H9835001_S_Lacelle_1Day-BN_000?scrollTo=reviewTab) (review)
Bausch & Lomb,used to current brand,39,[I've repeatedly bought this brand.](https://www.hktvmall.com/hktv/en/main/Easy-Look/s/H5711001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Monthly-Disposable/SofLens-38-1Month-Contact-Lens-BC-87-P-100/p/H5711001_S_SDD38_reg_1mon-87-100S?scrollTo=reviewTab) (review) | [I keep buying this brand.](https://www.hktvmall.com/hktv/en/main/Contact-Lens-247/s/H9835001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Colour-Contact-Lens/Daily-Disposable/Frozen-Grey-Lacelle-1-day-Colors-Daily-Disposal-Colour-Contact-Lenses/p/H9835001_S_Lacelle_Colors-CGY_000?scrollTo=reviewTab) (review) | [I'm loyal to my current brand.](https://www.hktvmall.com/hktv/en/main/My-Optical-Contact-lens/s/H1053001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/BC-86-Soflens-1Day-Contact-Lens-P100-Parallel-Import/p/H1053001_S_Soflens-100?scrollTo=reviewTab) (review)
Bausch & Lomb,bad reviews,24,[The quality is disappointing.](https://www.hktvmall.com/hktv/en/main/KINGCON/s/H7249002/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/Biotrue-ONEday-Contact-Lenses-Packaging-may-vary-new-or-old/p/H7249002_S_BLBTBD30-86M0075?scrollTo=reviewTab) (review) | [Good quality but not recommended due to issues.](https://www.hktvmall.com/hktv/en/main/Contact-Lens-247/s/H9835001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Multifocal-Contact-Lenses/Daily-Disposable/LOW-Biotrue-1Day-for-Presbyopia-Daily-Disposal-Contact-Lenses-Authorized-products/p/H9835001_S_Biotrue-MF-LOW-100?scrollTo=reviewTab) (review) | [Found damaged lenses indicating possible quality problems.](https://www.hktvmall.com/hktv/en/main/JW-Store/s/H7385002/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/SofLens-Daily-Disposable-1Day-Contact-Lens-BC-86-P-100-Hong-Kong-licensed-product/p/H7385002_S_JWL01101?scrollTo=reviewTab) (review)
Bausch & Lomb,not on promotion,18,"[Prices have risen, and discounts are fewer.](https://www.hktvmall.com/hktv/en/main/KINGCON/s/H7249002/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/Biotrue-ONEday-90-Pack-Contact-Lenses-Packaging-may-vary-new-or-old/p/H7249002_S_BLBTBD90-86M0900?scrollTo=reviewTab) (review) | [Promotional gifts for two boxes could improve.](https://www.hktvmall.com/hktv/en/main/Contact-Lens-247/s/H9835001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Colour-Contact-Lens/Daily-Disposable/Frozen-Grey-Lacelle-1-day-Colors-Daily-Disposal-Colour-Contact-Lenses/p/H9835001_S_Lacelle_Colors-CGY_000?scrollTo=reviewTab) (review) | [Might consider only if there's a discount.](https://www.hktvmall.com/hktv/en/main/My-Optical-Contact-lens/s/H1053001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/BC-86-Soflens-1Day-Contact-Lens-P100-Parallel-Import/p/H1053001_S_Soflens-100?scrollTo=reviewTab) (review)"
Bausch & Lomb,unattractive packaging,12,[The packaging lacks clarity.](https://www.hktvmall.com/hktv/en/main/KINGCON/s/H7249002/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/Biotrue-ONEday-Contact-Lenses-Packaging-may-vary-new-or-old/p/H7249002_S_BLBTBD30-86M0075?scrollTo=reviewTab) (review) | [The boxes were damaged.](https://www.hktvmall.com/hktv/en/main/My-Optical-Contact-lens/s/H1053001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/BC-86-Soflens-1Day-Contact-Lens-P100-Parallel-Import/p/H1053001_S_Soflens-100?scrollTo=reviewTab) (review) | [The damaged packaging didn't affect my decision to buy.](https://www.hktvmall.com/hktv/en/main/My-Optical-Contact-lens/s/H1053001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/BC-86-Soflens-1Day-Contact-Lens-P100-Parallel-Import/p/H1053001_S_Soflens-100?scrollTo=reviewTab) (review)
Bausch & Lomb,longer wait time,9,"[Quality is satisfactory, but the delivery service causes significant anxiety.](https://www.hktvmall.com/hktv/en/main/Easy-Look/s/H5711001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/SofLens-Daily-Disposable-1Day-Contact-Lens-BC-86-P-100-Parallel-Import/p/H5711001_S_SDDPI_reg_1day-86-100S?scrollTo=reviewTab) (review) | [My order was delivered to the wrong place and customer service was unhelpful.](https://www.hktvmall.com/hktv/en/main/My-Optical-Contact-lens/s/H1053001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/BC-86-Soflens-1Day-Contact-Lens-P100-Parallel-Import/p/H1053001_S_Soflens-100?scrollTo=reviewTab) (review) | [The favorite lens is often out of stock.](https://www.hktvmall.com/hktv/en/main/My-Optical-Contact-lens/s/H1053001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/BC-86-Soflens-1Day-Contact-Lens-P100-Parallel-Import/p/H1053001_S_Soflens-100?scrollTo=reviewTab) (review)"
Bausch & Lomb,too few variants,5,[I want more options available.](https://www.hktvmall.com/hktv/en/main/Vcons/s/B1665001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Astigmatism-Contact-Lens/Monthly-Disposable/Bausch-Lomb-UltraAstigmatic-contact-lenses-monthly-pack-of-6-pieces-BC-86-175/p/B1665001_S_Bausch-Lomb-Ultra-sg-p175-c125-a180?scrollTo=reviewTab) (review) | [More product options would be appreciated.](https://www.hktvmall.com/hktv/en/main/My-Optical-Contact-lens/s/H1053001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/BC-86-Soflens-1Day-Contact-Lens-P100-Parallel-Import/p/H1053001_S_Soflens-100?scrollTo=reviewTab) (review) | [I only like the lenses in certain colors.](https://www.hktvmall.com/hktv/en/main/Contact-Lens-247/s/H9835001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Colour-Contact-Lens/Daily-Disposable/Stylish-Brown-Lacelle-1-day-Daily-Disposal-Colour-Contact-Lenses/p/H9835001_S_Lacelle_1Day-LBN_000?scrollTo=reviewTab) (review)
Bausch & Lomb,difficult to find,3,[I faced long delays and had trouble contacting for an exchange.](https://www.hktvmall.com/hktv/en/main/POKECON/s/H8617001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/90pcs-pack-SofLens-Daily-Disposable-Contact-Lenses-Parallel-imported-products/p/H8617001_S_90pcs-SDD-100?scrollTo=reviewTab) (review) | [Concerned about product expiration dates during travel.](https://www.hktvmall.com/hktv/en/main/Vintage-Eyewear-4-You/s/S1115001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Multifocal-Contact-Lenses/Monthly-Disposable/SofLens-38-6pcsboxDealer-Products-FREE-TRIAL/p/S1115001_S_SofLens38_100?scrollTo=reviewTab) (review) | [Buying Bausch & Lomb in the US was hard and costly.](https://www.xiaohongshu.com/discovery/item/69589e59000000021e03cb4e?xsec_token=YB-Oc2T2nM5pXOkwVqvl4tuND2HuimYUx61zXNN3fBbqk%3D&xsec_source=app_share) (xhs_post)
Bausch & Lomb,not suitable for my age,3,[The new lenses are not comfortable and too light for me.](https://www.hktvmall.com/hktv/en/main/Contact-Lens-247/s/H9835001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Colour-Contact-Lens/Daily-Disposable/Sparking-Gold-Lacelle-1-day-Colors-Daily-Disposal-Colour-Contact-Lenses/p/H9835001_S_Lacelle_Colors-CBN_900?scrollTo=reviewTab) (review) | [I find them uncomfortable and won't buy again.](https://www.hktvmall.com/hktv/en/main/Easy-Look/s/H5711001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/SofLens-Daily-Disposable-1Day-Contact-Lens-BC-86-P-100/p/H5711001_S_SDD_reg_1day-86-100S?scrollTo=reviewTab) (review) | [Bulk buying isn't worth it due to rising costs.](https://www.hktvmall.com/hktv/en/main/My-Optical-Contact-lens/s/H1053001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/BC-86-Soflens-1Day-Contact-Lens-P100-Parallel-Import/p/H1053001_S_Soflens-100?scrollTo=reviewTab) (review)
Bausch & Lomb,lack of familiarity,2,[Staff lack knowledge about the products.](https://www.hktvmall.com/hktv/en/main/JW-Store/s/H7385002/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/SofLens-Daily-Disposable-1Day-Contact-Lens-BC-86-P-100-Hong-Kong-licensed-product/p/H7385002_S_JWL01101?scrollTo=reviewTab) (review) | [I didn't get a separate box for my package; it's confusing.](https://www.hktvmall.com/hktv/en/main/Contact-Lens-247/s/H9835001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/90pcs-Value-pack-SofLens-Daily-Disposable-Contact-Lenses-Parallel-imported-products/p/H9835001_S_SDD-90pcs-100?scrollTo=reviewTab) (review)
CooperVision,too expensive,18,[Received the wrong lenses which were uncomfortable and overall too pricey.](https://www.hktvmall.com/hktv/en/main/123-OPTICAL/s/H9723001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/BC-86-Clariti-1-day-Silicone-Hydrogel-Contact-Lens-100/p/H9723001_S_C113002_p-100?scrollTo=reviewTab) (review) | [It's affordable with decent quality.](https://www.hktvmall.com/hktv/en/main/123-OPTICAL/s/H9723001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/BC-86-Biomedics-1-day-Extra-Contact-Lens-100/p/H9723001_S_C113001_p-100?scrollTo=reviewTab) (review) | [I would like deeper discounts for bulk orders.](https://www.hktvmall.com/hktv/en/main/123-OPTICAL/s/H9723001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/BC-86-Biomedics-1-day-Extra-Contact-Lens-100/p/H9723001_S_C113001_p-100?scrollTo=reviewTab) (review)
CooperVision,previous bad experience,15,"[Received the wrong lenses which were uncomfortable and overall too pricey.](https://www.hktvmall.com/hktv/en/main/123-OPTICAL/s/H9723001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/BC-86-Clariti-1-day-Silicone-Hydrogel-Contact-Lens-100/p/H9723001_S_C113002_p-100?scrollTo=reviewTab) (review) | [I received the wrong lenses, very disappointing!](https://www.hktvmall.com/hktv/en/main/123-OPTICAL/s/H9723001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/BC-86-Biomedics-1-day-Extra-Contact-Lens-100/p/H9723001_S_C113001_p-100?scrollTo=reviewTab) (review) | [I received a damaged box, possibly due to a lower price.](https://www.hktvmall.com/hktv/en/main/Easy-Look/s/H5711001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/High-Clariti-1-day-Multifocal-Silicone-Hydrogel-Contact-Lens-BC-86-P-000/p/H5711001_S_Clariti_mfHi_1day-86-0?scrollTo=reviewTab) (review)"
CooperVision,used to current brand,14,[Sticking with my current brand.](https://www.hktvmall.com/hktv/en/main/123-OPTICAL/s/H9723001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/BC-86-Biomedics-1-day-Extra-Contact-Lens-100/p/H9723001_S_C113001_p-100?scrollTo=reviewTab) (review) | [I prefer to stick with my familiar shop.](https://www.hktvmall.com/hktv/en/main/123-OPTICAL/s/H9723001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/BC-86-Biomedics-1-day-Extra-Contact-Lens-100/p/H9723001_S_C113001_p-100?scrollTo=reviewTab) (review) | [I've been using this brand for long wear.](https://www.hktvmall.com/hktv/en/main/Easy-Look/s/H5711001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/Clariti-1-day-Silicone-Hydrogel-Contact-Lens-BC-86-P-100/p/H5711001_S_Clariti_reg_1day-86-100S?scrollTo=reviewTab) (review)
CooperVision,bad reviews,7,[The packaging is unsafe; I almost cut myself opening it.](https://www.hktvmall.com/hktv/en/main/Easy-Look/s/H5711001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/Proclear-1-day-Contact-Lens-BC-87-P-100/p/H5711001_S_Proclear_reg_1day-87-100S?scrollTo=reviewTab) (review) | [Sometimes the lenses arrive damaged.](https://www.hktvmall.com/hktv/en/main/Easy-Look/s/H5711001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/Biomedics-1-day-Extra-Contact-Lens-BC-86-P-100/p/H5711001_S_Biomedics_ex_1day-86-100S?scrollTo=reviewTab) (review) | [Received a lens with quality problems during my first purchase.](https://www.hktvmall.com/hktv/en/main/KINGCON/s/H7249002/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/Clariti-1-day-Contact-Lenses/p/H7249002_S_CVCTCD30-86M0075?scrollTo=reviewTab) (review)
CooperVision,not suitable for my age,4,[They aren't comfortable for me.](https://www.hktvmall.com/hktv/en/main/Easy-Look/s/H5711001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/Biomedics-1-day-Extra-Contact-Lens-BC-86-P-100/p/H5711001_S_Biomedics_ex_1day-86-100S?scrollTo=reviewTab) (review) | [Picky about contact lenses due to mild dry eye syndrome.](https://www.xiaohongshu.com/discovery/item/65dc887a0000000007007d92?xsec_token=YBC29PuIg5q94St4FmKTnYorUwePMLYaPYn4rIhLUHtX8%3D&xsec_source=app_share) (xhs_post) | [My eyes aren't compatible with contact lenses.](https://www.xiaohongshu.com/discovery/item/69fdeadc000000001002d000?xsec_token=YBSV3OJhpa7Xh6KrFRFA22px33XNbkIdA9yPF9j_xsfh0%3D&xsec_source=app_share) (xhs_post)
CooperVision,unattractive packaging,3,"[The packaging is creased and needs improvement.](https://www.hktvmall.com/hktv/en/main/Easy-Look/s/H5711001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/Biomedics-1-day-Extra-Contact-Lens-BC-86-P-100/p/H5711001_S_Biomedics_ex_1day-86-100S?scrollTo=reviewTab) (review) | [The box feels old, but it's usable.](https://www.hktvmall.com/hktv/en/main/Easy-Look/s/H5711001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/Biomedics-1-day-Extra-Contact-Lens-BC-86-P-100/p/H5711001_S_Biomedics_ex_1day-86-100S?scrollTo=reviewTab) (review) | [The packaging looks different from what I previously bought.](https://www.xiaohongshu.com/discovery/item/69cfaf33000000002102c93f?xsec_token=YB9xFDBUd8mLiWqdLAfH9rC-9_Q6hhFd1v8r0Lu3LfLo8%3D&xsec_source=app_share) (xhs_post)"
CooperVision,longer wait time,3,[They get dry after eight hours of use.](https://www.hktvmall.com/hktv/en/main/123-OPTICAL/s/H9723001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/BC-86-Biomedics-1-day-Extra-Contact-Lens-100/p/H9723001_S_C113001_p-100?scrollTo=reviewTab) (review) | [The product took a week to arrive.](https://www.hktvmall.com/hktv/en/main/ShopHK-Contact-Lens-%26-Beauty/s/S6417001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/Clariti-1-Day-Daily-Disposable-Contact-Lenses-30PCS/p/S6417001_S_shopzzcoopervisionclariti1day?scrollTo=reviewTab) (review) | [Looking for reliable online stores with Biofinity lenses in stock.](https://www.xiaohongshu.com/discovery/item/6a16ad9d0000000013020400?xsec_token=YBjHWXcCiE6iOO-9ghwwzkA0pKUYUY4P_LMk6zh4xzXcw%3D&xsec_source=app_share) (xhs_post)
CooperVision,not on promotion,1,"[I find them suitable and comfortable, but I won't purchase without a discount.](https://www.hktvmall.com/hktv/en/main/UNICON/s/B1099001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/Clariti-1-day-Daily-Disposal-Contact-Lenses-Parallel-imported-products/p/B1099001_S_Clariti1day-Pi-100?scrollTo=reviewTab) (review)"
CooperVision,not available at ECP,1,[I can't find my prescription available anymore.](https://www.xiaohongshu.com/discovery/item/68fa0d94000000000300efe6?xsec_token=YB6BhbSmA42r9VwkJI5sNJTMGyEj5VXIuGBfg7_T__0aE%3D&xsec_source=app_share) (xhs_post)
Olens,previous bad experience,24,"[I had a bad experience with these monthly lenses damaging my vision.](https://www.hktvmall.com/hktv/en/main/Easytalk-Group/s/H5515001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Colour-Contact-Lens/Monthly-Disposable/VIVIRING-Monthly-Colored-Contact-Lenses-Chocolate-2-pics-Parallel-Goods/p/H5515001_S_VIVIRING-CHO-0?scrollTo=reviewTab) (review) | [The opened lens was broken, similar issues happened before.](https://www.hktvmall.com/hktv/en/main/OLENS-HK-Flagship-Store/s/H6878001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/Made-in-Korea-O2-EDITION-1-DAY-DISPOSABLE-CONTACT-LENS-40P-BUNDLE-SET-P-100-New-Packaging/p/H6878001_S_OL1DO2ED40P100?scrollTo=reviewTab) (review) | [Received incorrect prescription and realized it too late.](https://www.hktvmall.com/hktv/en/main/OLENS-HK-Flagship-Store/s/H6878001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/Made-in-Korea-O2-EDITION-1-DAY-DISPOSABLE-CONTACT-LENS-40P-BUNDLE-SET-P-100-New-Packaging/p/H6878001_S_OL1DO2ED40P100?scrollTo=reviewTab) (review)"
Olens,too expensive,9,"[The quality is good, but it's a bit costly.](https://www.sorra.net/product/3037) (review) | [It's good quality but feels overpriced.](https://www.sorra.net/product/43441) (review) | [High cost but causes discomfort after extended wear.](https://www.hktvmall.com/hktv/en/main/OLENS-HK-Flagship-Store/s/H6878001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/Made-in-Korea-O2-EDITION-1-DAY-DISPOSABLE-CONTACT-LENS-40P-BUNDLE-SET-P-100-New-Packaging/p/H6878001_S_OL1DO2ED40P100?scrollTo=reviewTab) (review)"
